Dataset,Region,Type,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
80,Northern Cape,Province,,,,,,,,,,,,,,,44018,45442,44898,45542,,,,,,
80,Free State,Province,,,,,,,,,,,,,,,124782,124246,121622,118328,,,,,,
80,KwaZulu-Natal,Province,,,,,,,,,,,,,,,514987,534106,541332,544286,,,,,,
80,North West,Province,,,,,,,,,,,,,,,129349,129300,131652,131001,,,,,,
80,Gauteng,Province,,,,,,,,,,,,,,,360867,370953,373726,375950,,,,,,
80,Mpumalanga,Province,,,,,,,,,,,,,,,191171,194163,193881,192216,,,,,,
80,Limpopo,Province,,,,,,,,,,,,,,,345063,346590,354655,350358,,,,,,
81,Western Cape,Province,,,,,,,,,,,,,,,183491,187576,192897,193682,,,,,,
81,Eastern Cape,Province,,,,,,,,,,,,,,,338430,335389,335991,334699,,,,,,
81,Northern Cape,Province,,,,,,,,,,,,,,,46023,48057,47946,48467,,,,,,
81,Free State,Province,,,,,,,,,,,,,,,125996,127008,126182,124204,,,,,,
81,KwaZulu-Natal,Province,,,,,,,,,,,,,,,538215,551074,562598,563014,,,,,,
81,North West,Province,,,,,,,,,,,,,,,134150,134760,136647,137791,,,,,,
81,Gauteng,Province,,,,,,,,,,,,,,,378656,386136,395563,398472,,,,,,
81,Mpumalanga,Province,,,,,,,,,,,,,,,200589,203449,205622,204548,,,,,,
81,Limpopo,Province,,,,,,,,,,,,,,,354422,353685,362298,357353,,,,,,
82,Western Cape,Province,,,,,,,,,,,,30.3,28.8,28.5,28.3,28.3,28.5,28.9,,,,,,
82,Eastern Cape,Province,,,,,,,,,,,,32.3,31.3,29.8,29.7,28.7,28.7,29.4,,,,,,
82,Northern Cape,Province,,,,,,,,,,,,31,29.5,29.4,30.5,30.9,31.3,31.5,,,,,,
82,Free State,Province,,,,,,,,,,,,28.9,28.7,27.5,27.5,27.4,26.7,27.2,,,,,,
82,KwaZulu-Natal,Province,,,,,,,,,,,,32.4,31.9,31.6,30.5,30.5,30.3,29.8,,,,,,
82,North West,Province,,,,,,,,,,,,29.1,29.3,29.1,29.2,29.5,29.9,30.1,,,,,,
82,Gauteng,Province,,,,,,,,,,,,29.8,29.5,28.7,28.1,28.3,28.1,28.5,,,,,,
82,Mpumalanga,Province,,,,,,,,,,,,32.7,31.3,29.4,30,30.2,30.4,30.1,,,,,,
82,Limpopo,Province,,,,,,,,,,,,33.2,30.9,29.2,29.3,29.2,29.8,30,,,,,,
83,City of Johannesburg,City,,,,,,,,,,,,,,,,0.05,,,,,,,,
83,City of Tshwane,City,,,,,,,,,,,,,,,,0.049,,,,,,,,
83,City of Cape Town,City,,,,,,,,,,,,,,,,0.056,,,,,,,,
83,EThekwini Municipality,City,,,,,,,,,,,,,,,,0.051,,,,,,,,
83,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,0.052,,,,,,,,
83,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,0.056,,,,,,,,
83,Buffalo City Municipality,City,,,,,,,,,,,,,,,,0.055,,,,,,,,
83,Mangaung Municipality,City,,,,,,,,,,,,,,,,0.054,,,,,,,,
83,Msunduzi Municipality,City,,,,,,,,,,,,,,,,0.054,,,,,,,,
84,City of Johannesburg,City,,,,,,,,,,,,,,,,0.208,,,,,,,,
84,City of Tshwane,City,,,,,,,,,,,,,,,,0.202,,,,,,,,
84,City of Cape Town,City,,,,,,,,,,,,,,,,0.156,,,,,,,,
84,EThekwini Municipality,City,,,,,,,,,,,,,,,,0.214,,,,,,,,
84,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,0.194,,,,,,,,
84,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,0.15,,,,,,,,
84,Buffalo City Municipality,City,,,,,,,,,,,,,,,,0.136,,,,,,,,
84,Mangaung Municipality,City,,,,,,,,,,,,,,,,0.165,,,,,,,,
84,Msunduzi Municipality,City,,,,,,,,,,,,,,,,0.186,,,,,,,,
85,City of Johannesburg,City,0.8435,0.84,0.84,0.84,0.84,0.85,0.85,0.86,0.87,0.87,0.88,0.89,0.9,0.9,0.91,0.92,0.92,0.92,,,,,,
85,City of Tshwane,City,0.83,0.83,0.83,0.83,0.83,0.83,0.84,0.84,0.85,0.86,0.87,0.88,0.88,0.89,0.9,0.9,0.91,0.91,,,,,,
85,City of Cape Town,City,0.85,0.85,0.85,0.85,0.85,0.85,0.86,0.86,0.87,0.88,0.89,0.89,0.9,0.91,0.91,0.92,0.92,0.92,,,,,,
85,EThekwini Municipality,City,0.79,0.79,0.79,0.79,0.79,0.8,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.87,0.88,0.88,0.88,,,,,,
85,Ekurhuleni Municipality,City,0.82,0.81,0.81,0.81,0.82,0.82,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.9,0.91,0.91,,,,,,
85,Nelson Mandela Bay Municipality,City,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.89,0.9,0.9,,,,,,
85,Buffalo City Municipality,City,0.75,0.75,0.75,0.75,0.75,0.76,0.76,0.77,0.78,0.8,0.81,0.82,0.84,0.85,0.85,0.86,0.86,0.86,,,,,,
85,Mangaung Municipality,City,0.73,0.74,0.73,0.73,0.74,0.74,0.74,0.75,0.77,0.78,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.86,,,,,,
85,Msunduzi Municipality,City,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.85,0.86,0.86,0.86,,,,,,
86,Western Cape,Province,,,,,,,,,,,,,,75.7,76.8,82.9,82.8,85.1,,,,,,
86,Eastern Cape,Province,,,,,,,,,,,,,,51,58.3,58.1,61.6,64.9,,,,,,
86,Northern Cape,Province,,,,,,,,,,,,,,61.3,72.3,68.8,74.6,74.5,,,,,,
86,Free State,Province,,,,,,,,,,,,,,69.4,70.7,75.7,81.1,87.4,,,,,,
86,KwaZulu-Natal,Province,,,,,,,,,,,,,,61.1,70.7,68.1,73.1,77.4,,,,,,
86,North West,Province,,,,,,,,,,,,,,67.5,75.7,77.8,79.5,87.2,,,,,,
86,Gauteng,Province,,,,,,,,,,,,,,71.8,78.6,81.1,83.9,87,,,,,,
86,Mpumalanga,Province,,,,,,,,,,,,,,47.9,56.8,64.8,70,77.6,,,,,,
86,Limpopo,Province,,,,,,,,,,,,,,48.9,57.9,63.9,66.9,71.8,,,,,,
87,Western Cape,Province,,,,,,,11874,10284,9515,10021,,10297,4042,9958,9266,,,,,,,,,
87,Eastern Cape,Province,,,,,,,16957,18998,16570,13421,,13942,1488,14546,13477,,,,,,,,,
87,Northern Cape,Province,,,,,,,1856,1859,1618,1988,,1937,335,1958,1468,,,,,,,,,
87,Free State,Province,,,,,,,5278,6875,5046,4970,,4939,2199,4958,4848,,,,,,,,,
87,KwaZulu-Natal,Province,,,,,,,27790,28322,27014,23833,,24025,3865,23142,23928,,,,,,,,,
87,North West,Province,,,,,,,7518,5652,7026,4849,,4690,2165,4507,4615,,,,,,,,,
87,Gauteng,Province,,,,,,,17909,17581,16211,15317,,16192,13454,16816,16684,,,,,,,,,
87,Mpumalanga,Province,,,,,,,4568,4263,4949,5040,,5079,1058,5169,4744,,,,,,,,,
87,Limpopo,Province,,,,,,,12334,11977,12198,8431,,8181,454,7866,7744,,,,,,,,,
88,Western Cape,Province,,,9,,,,,13.6,,,32.1,30,28.4,27.7,27.4,26.5,25.6,,,,,,,
88,Eastern Cape,Province,,,20.5,,,,,11.6,,,86.2,82.1,76.7,71.1,27.7,65.3,63.4,,,,,,,
88,Northern Cape,Province,,,14.3,,,,,10.6,,,40.9,41.2,39.4,38.7,38.2,36.8,35.4,,,,,,,
88,Free State,Province,,,19,,,,,21.1,,,79,74.8,69.4,63.4,60.2,58,56.5,,,,,,,
88,KwaZulu-Natal,Province,,,23.6,,,,,3,,,85.6,81.6,73.8,66.8,64.5,62.7,61.3,,,,,,,
88,North West,Province,,,14,,,,,15.3,,,61,54.1,48.3,45.5,45.9,44.9,43.7,,,,,,,
88,Gauteng,Province,,,9.3,,,,,9.4,,,49.1,48.4,41.9,37.9,38,37.1,36.2,,,,,,,
88,Mpumalanga,Province,,,17.3,,,,,12.3,,,78.9,75,68.7,61.9,57.7,54.7,52.7,,,,,,,
88,Limpopo,Province,,,15.7,,,,,10.1,,,54.3,50.2,43.4,40.3,40.6,39.9,39.1,,,,,,,
89,City of Johannesburg,City,,,,,,,,,,,,6.4,,,,,,,,,,,,
89,City of Tshwane,City,,,,,,,,,,,,5.4,,,,,,,,,,,,
89,City of Cape Town,City,,,,,,,,,,,,3.1,,,,,,,,,,,,
89,EThekwini Municipality,City,,,,,,,,,,,,10,,,,,,,,,,,,
89,Ekurhuleni Municipality,City,,,,,,,,,,,,6.6,,,,,,,,,,,,
89,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,10.9,,,,,,,,,,,,
89,Buffalo City Municipality,City,,,,,,,,,,,,16.5,,,,,,,,,,,,
89,Mangaung Municipality,City,,,,,,,,,,,,10.8,,,,,,,,,,,,
89,Msunduzi Municipality,City,,,,,,,,,,,,13,,,,,,,,,,,,
90,City of Johannesburg,City,561885,,,,,779720,,,,,,,,,,1167935,,,,,,,,
90,City of Tshwane,City,355441,,,,,454129,,,,,,,,,,735231,,,,,,,,
90,City of Cape Town,City,516693,,,,,599471,,,,,,,,,,837532,,,,,,,,
90,EThekwini Municipality,City,452281,,,,,572746,,,,,,,,,,756156,,,,,,,,
90,Ekurhuleni Municipality,City,377066,,,,,521750,,,,,,,,,,786257,,,,,,,,
90,Nelson Mandela Bay Municipality,City,160790,,,,,196148,,,,,,,,,,282628,,,,,,,,
90,Buffalo City Municipality,City,99351,,,,,120774,,,,,,,,,,162005,,,,,,,,
90,Mangaung Municipality,City,108350,,,,,132668,,,,,,,,,,134128,,,,,,,,
90,Msunduzi Municipality,City,40921,,,,,46348,,,,,,,,,,52276,,,,,,,,
91,City of Johannesburg,City,155467,,,,,212693,,,,,,,,,,249823,,,,,,,,
91,City of Tshwane,City,91373,,,,,139482,,,,,,,,,,164014,,,,,,,,
91,City of Cape Town,City,125204,,,,,142981,,,,,,,,,,218780,,,,,,,,
91,EThekwini Municipality,City,139807,,,,,150390,,,,,,,,,,149289,,,,,,,,
91,Ekurhuleni Municipality,City,156415,,,,,213334,,,,,,,,,,218259,,,,,,,,
91,Nelson Mandela Bay Municipality,City,60670,,,,,59795,,,,,,,,,,38861,,,,,,,,
91,Buffalo City Municipality,City,42535,,,,,55056,,,,,,,,,,49790,,,,,,,,
91,Mangaung Municipality,City,34778,,,,,43811,,,,,,,,,,32747,,,,,,,,
91,Msunduzi Municipality,City,8130,,,,,15424,,,,,,,,,,12418,,,,,,,,
92,City of Johannesburg,City,3127,,,,,11701,,,,,,,,,,5626,,,,,,,,
92,City of Tshwane,City,6199,,,,,10433,,,,,,,,,,3916,,,,,,,,
92,City of Cape Town,City,2850,,,,,14769,,,,,,,,,,3767,,,,,,,,
92,EThekwini Municipality,City,46268,,,,,60182,,,,,,,,,,40188,,,,,,,,
92,Ekurhuleni Municipality,City,2297,,,,,8091,,,,,,,,,,2500,,,,,,,,
92,Nelson Mandela Bay Municipality,City,1706,,,,,4070,,,,,,,,,,1112,,,,,,,,
92,Buffalo City Municipality,City,17470,,,,,15642,,,,,,,,,,10157,,,,,,,,
92,Mangaung Municipality,City,8877,,,,,7999,,,,,,,,,,3050,,,,,,,,
92,Msunduzi Municipality,City,19053,,,,,17910,,,,,,,,,,33043,,,,,,,,
93,City of Johannesburg,City,,,,,,253726,,,,,,,,,,340081,,,,,,,,
93,City of Tshwane,City,,,,,,219895,,,,,,,,,,307004,,,,,,,,
93,City of Cape Town,City,,,,,,235360,,,,,,,,,,355246,,,,,,,,
93,EThekwini Municipality,City,,,,,,328144,,,,,,,,,,380024,,,,,,,,
93,Ekurhuleni Municipality,City,,,,,,213499,,,,,,,,,,277633,,,,,,,,
93,Nelson Mandela Bay Municipality,City,,,,,,101818,,,,,,,,,,153065,,,,,,,,
93,Buffalo City Municipality,City,,,,,,70136,,,,,,,,,,81731,,,,,,,,
93,Mangaung Municipality,City,,,,,,80721,,,,,,,,,,118899,,,,,,,,
93,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,,,
94,City of Johannesburg,City,,,,,,221568,,,,,,,,,,236694,,,,,,,,
94,City of Tshwane,City,,,,,,154678,,,,,,,,,,166840,,,,,,,,
94,City of Cape Town,City,,,,,,225626,,,,,,,,,,223435,,,,,,,,
94,EThekwini Municipality,City,,,,,,147290,,,,,,,,,,141819,,,,,,,,
94,Ekurhuleni Municipality,City,,,,,,176821,,,,,,,,,,169175,,,,,,,,
94,Nelson Mandela Bay Municipality,City,,,,,,53049,,,,,,,,,,46014,,,,,,,,
94,Buffalo City Municipality,City,,,,,,29029,,,,,,,,,,29713,,,,,,,,
94,Mangaung Municipality,City,,,,,,29007,,,,,,,,,,25859,,,,,,,,
94,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,,,
95,City of Johannesburg,City,,,,,,332438,,,,,,,,,,590652,,,,,,,,
95,City of Tshwane,City,,,,,,129531,,,,,,,,,,291590,,,,,,,,
95,City of Cape Town,City,,,,,,187118,,,,,,,,,,319343,,,,,,,,
95,EThekwini Municipality,City,,,,,,197128,,,,,,,,,,284135,,,,,,,,
95,Ekurhuleni Municipality,City,,,,,,206518,,,,,,,,,,378364,,,,,,,,
95,Nelson Mandela Bay Municipality,City,,,,,,40416,,,,,,,,,,62518,,,,,,,,
95,Buffalo City Municipality,City,,,,,,34710,,,,,,,,,,52167,,,,,,,,
95,Mangaung Municipality,City,,,,,,22101,,,,,,,,,,47472,,,,,,,,
95,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,,,
96,City of Johannesburg,City,,,,,,199179,,,,,,,,,,227609,,,,,,,,
96,City of Tshwane,City,,,,,,101920,,,,,,,,,,121713,,,,,,,,
96,City of Cape Town,City,,,,,,111381,,,,,,,,,,139226,,,,,,,,
96,EThekwini Municipality,City,,,,,,114185,,,,,,,,,,122241,,,,,,,,
96,Ekurhuleni Municipality,City,,,,,,148808,,,,,,,,,,164660,,,,,,,,
96,Nelson Mandela Bay Municipality,City,,,,,,65517,,,,,,,,,,51314,,,,,,,,
96,Buffalo City Municipality,City,,,,,,58083,,,,,,,,,,51525,,,,,,,,
96,Mangaung Municipality,City,,,,,,53184,,,,,,,,,,33774,,,,,,,,
96,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,,,
97,City of Johannesburg,City,-0.001,-0.001,-0.001,-0.001,-0.001,-0.0231,-0.0231,-0.0231,-0.0231,-0.0231,-0.0231,-0.0139,-0.0139,-0.0139,-0.0139,-0.0139,,,,,,,,
97,City of Tshwane,City,0.032,0.032,0.032,0.032,0.032,0.0341,0.0341,0.0341,0.0341,0.0341,0.0341,-0.0842,-0.0842,-0.0842,-0.0842,-0.0842,,,,,,,,
97,City of Cape Town,City,-0.004,-0.004,-0.004,-0.004,-0.004,-0.0322,-0.0322,-0.0322,-0.0322,-0.0322,-0.0322,0.0442,0.0442,0.0442,0.0442,0.0442,,,,,,,,
97,EThekwini Municipality,City,-0.025,-0.025,-0.025,-0.025,-0.025,-0.0201,-0.0201,-0.0201,-0.0201,-0.0201,-0.0201,-0.0149,-0.0149,-0.0149,-0.0149,-0.0149,,,,,,,,
97,Ekurhuleni Municipality,City,-0.002,-0.002,-0.002,-0.002,-0.002,-0.0259,-0.0259,-0.0259,-0.0259,-0.0259,-0.0259,0,0,0,0,0,,,,,,,,
97,Nelson Mandela Bay Municipality,City,-0.04,-0.04,-0.04,-0.04,-0.04,-0.0918,-0.0918,-0.0918,-0.0918,-0.0918,-0.0918,-0.0172,-0.0172,-0.0172,-0.0172,-0.0172,,,,,,,,
97,Buffalo City Municipality,City,0.023,0.023,0.023,0.023,0.023,-0.0425,-0.0425,-0.0425,-0.0425,-0.0425,-0.0425,-0.0215,-0.0215,-0.0215,-0.0215,-0.0215,,,,,,,,
97,Mangaung Municipality,City,0.01,0.01,0.01,0.01,0.01,-0.0554,-0.0554,-0.0554,-0.0554,-0.0554,-0.0554,-0.0406,-0.0406,-0.0406,-0.0406,-0.0406,,,,,,,,
97,Msunduzi Municipality,City,0.039,0.039,0.039,0.039,0.039,-0.0962,-0.0962,-0.0962,-0.0962,-0.0962,-0.0962,-0.054,-0.054,-0.054,-0.054,-0.054,,,,,,,,
98,City of Johannesburg,City,,,,,,,,,,,,,,,,,2.7,,,,,,,
98,City of Tshwane,City,,,,,,,,,,,,,,,,,1.7,,,,,,,
98,City of Cape Town,City,,,,,,,,,,,,,,,,,3.1,,,,,,,
98,EThekwini Municipality,City,,,,,,,,,,,,,,,,,3.7,,,,,,,
98,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,,2.7,,,,,,,
98,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,,3,,,,,,,
98,Buffalo City Municipality,City,,,,,,,,,,,,,,,,,3,,,,,,,
98,Mangaung Municipality,City,,,,,,,,,,,,,,,,,3.7,,,,,,,
98,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,3.9,,,,,,,
99,City of Johannesburg,City,,,,,,,,,,,,,,,,,4.29,,,,,,,
99,City of Tshwane,City,,,,,,,,,,,,,,,,,2.91,,,,,,,
99,City of Cape Town,City,,,,,,,,,,,,,,,,,4.69,,,,,,,
99,EThekwini Municipality,City,,,,,,,,,,,,,,,,,7.13,,,,,,,
99,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,,3.84,,,,,,,
99,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,,5.11,,,,,,,
99,Buffalo City Municipality,City,,,,,,,,,,,,,,,,,4.66,,,,,,,
99,Mangaung Municipality,City,,,,,,,,,,,,,,,,,3.15,,,,,,,
99,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,4.89,,,,,,,
100,Western Cape,Province,,,,,,,,,,,,,,,,,,276,,,,,,
100,Eastern Cape,Province,,,,,,,,,,,,,,,,,,14,,,,,,
100,Northern Cape,Province,,,,,,,,,,,,,,,,,,,,,,,,
100,Free State,Province,,,,,,,,,,,,,,,,,,,,,,,,
100,KwaZulu-Natal,Province,,,,,,,,,,,,,,,,,,65,,,,,,
100,North West,Province,,,,,,,,,,,,,,,,,,,,,,,,
100,Gauteng,Province,,,,,,,,,,,,,,,,,,342,,,,,,
100,Mpumalanga,Province,,,,,,,,,,,,,,,,,,,,,,,,
100,Limpopo,Province,,,,,,,,,,,,,,,,,,,,,,,,
101,Western Cape,Province,,,,,,,,,,,,,,,,,,151,,,,,,
101,Eastern Cape,Province,,,,,,,,,,,,,,,,,,32,,,,,,
101,Northern Cape,Province,,,,,,,,,,,,,,,,,,10,,,,,,
101,Free State,Province,,,,,,,,,,,,,,,,,,43,,,,,,
101,KwaZulu-Natal,Province,,,,,,,,,,,,,,,,,,153,,,,,,
101,North West,Province,,,,,,,,,,,,,,,,,,117,,,,,,
101,Gauteng,Province,,,,,,,,,,,,,,,,,,231,,,,,,
101,Mpumalanga,Province,,,,,,,,,,,,,,,,,,214,,,,,,
101,Limpopo,Province,,,,,,,,,,,,,,,,,,100,,,,,,
102,Western Cape,Province,,,,,,,,,,,,,,,,,,314,,,,,,
102,Eastern Cape,Province,,,,,,,,,,,,,,,,,,317,,,,,,
102,Northern Cape,Province,,,,,,,,,,,,,,,,,,38,,,,,,
102,Free State,Province,,,,,,,,,,,,,,,,,,170,,,,,,
102,KwaZulu-Natal,Province,,,,,,,,,,,,,,,,,,803,,,,,,
102,North West,Province,,,,,,,,,,,,,,,,,,240,,,,,,
102,Gauteng,Province,,,,,,,,,,,,,,,,,,1392,,,,,,
102,Mpumalanga,Province,,,,,,,,,,,,,,,,,,202,,,,,,
102,Limpopo,Province,,,,,,,,,,,,,,,,,,175,,,,,,
103,Western Cape,Province,,,,,,,,,,,,,,,,,,711,,,,,,
103,Eastern Cape,Province,,,,,,,,,,,,,,,,,,273,,,,,,
103,Northern Cape,Province,,,,,,,,,,,,,,,,,,76,,,,,,
103,Free State,Province,,,,,,,,,,,,,,,,,,191,,,,,,
103,KwaZulu-Natal,Province,,,,,,,,,,,,,,,,,,570,,,,,,
103,North West,Province,,,,,,,,,,,,,,,,,,199,,,,,,
103,Gauteng,Province,,,,,,,,,,,,,,,,,,1774,,,,,,
103,Mpumalanga,Province,,,,,,,,,,,,,,,,,,253,,,,,,
103,Limpopo,Province,,,,,,,,,,,,,,,,,,228,,,,,,
104,Western Cape,Province,,,,,,,,,,,,,,,,,,227,,,,,,
104,Eastern Cape,Province,,,,,,,,,,,,,,,,,,93,,,,,,
104,Northern Cape,Province,,,,,,,,,,,,,,,,,,43,,,,,,
104,Free State,Province,,,,,,,,,,,,,,,,,,51,,,,,,
104,KwaZulu-Natal,Province,,,,,,,,,,,,,,,,,,161,,,,,,
104,North West,Province,,,,,,,,,,,,,,,,,,69,,,,,,
104,Gauteng,Province,,,,,,,,,,,,,,,,,,275,,,,,,
104,Mpumalanga,Province,,,,,,,,,,,,,,,,,,70,,,,,,
104,Limpopo,Province,,,,,,,,,,,,,,,,,,77,,,,,,
105,Western Cape,Province,,,,,,,,,,,,,,,,,,368,,,,,,
105,Eastern Cape,Province,,,,,,,,,,,,,,,,,,380,,,,,,
105,Northern Cape,Province,,,,,,,,,,,,,,,,,,10,,,,,,
105,Free State,Province,,,,,,,,,,,,,,,,,,241,,,,,,
105,KwaZulu-Natal,Province,,,,,,,,,,,,,,,,,,487,,,,,,
105,North West,Province,,,,,,,,,,,,,,,,,,232,,,,,,
105,Gauteng,Province,,,,,,,,,,,,,,,,,,578,,,,,,
105,Mpumalanga,Province,,,,,,,,,,,,,,,,,,264,,,,,,
105,Limpopo,Province,,,,,,,,,,,,,,,,,,320,,,,,,
106,Western Cape,Province,,,,,,,,,,,,,,,,,,29,,,,,,
106,Eastern Cape,Province,,,,,,,,,,,,,,,,,,6,,,,,,
106,Northern Cape,Province,,,,,,,,,,,,,,,,,,6,,,,,,
106,Free State,Province,,,,,,,,,,,,,,,,,,19,,,,,,
106,KwaZulu-Natal,Province,,,,,,,,,,,,,,,,,,20,,,,,,
106,North West,Province,,,,,,,,,,,,,,,,,,21,,,,,,
106,Gauteng,Province,,,,,,,,,,,,,,,,,,45,,,,,,
106,Mpumalanga,Province,,,,,,,,,,,,,,,,,,17,,,,,,
106,Limpopo,Province,,,,,,,,,,,,,,,,,,19,,,,,,
107,City of Johannesburg,City,,,,,,,,,,,,,,,,547926,,,,,,,,
107,City of Tshwane,City,,,,,,,,,,,,,,,,401766,,,,,,,,
107,City of Cape Town,City,,,,,,,,,,,,,,,,488934,,,,,,,,
107,EThekwini Municipality,City,,,,,,,,,,,,,,,,311796,,,,,,,,
107,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,359631,,,,,,,,
107,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,115326,,,,,,,,
107,Buffalo City Municipality,City,,,,,,,,,,,,,,,,62664,,,,,,,,
107,Mangaung Municipality,City,,,,,,,,,,,,,,,,69924,,,,,,,,
107,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,,,
108,City of Johannesburg,City,,,,,,,,,,,0.68,0.68,0.64,0.7,,0.64,0.57,0.53,0.529,0.451,,,,
108,City of Tshwane,City,,,,,,,,,,,0.67,0.65,0.6,0.57,,0.58,0.633,0.662,0.675,,,,,
108,City of Cape Town,City,,,,,,,,,,,0.72,0.92,0.9,0.88,,0.82,0.948,0.943,97.6,,,,,
108,EThekwini Municipality,City,,,,,,,,,,,0.72,0.7,0.68,0.74,,0.57,0.749,0.765,0.832,,,,,
108,Ekurhuleni Municipality,City,,,,,,,,,,,0.72,0.81,0.71,0.72,,0.7,0.804,0.871,0.892,,,,,
108,Nelson Mandela Bay Municipality,City,,,,,,,,,,,0.78,0.71,0.79,0.76,0.62,0.687,0.671,0.585,,,,,,
108,Buffalo City Municipality,City,,,,,,,,,,,,,,,,,0.729,0.682,0.649,,,,,
108,Mangaung Municipality,City,,,,,,,,,,,,,,,,,,0.825,0.743,,,,,
108,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,,,
109,City of Johannesburg,City,,,,,,,,,,,,,,,,129060,,,,,,,,
109,City of Tshwane,City,,,,,,,,,,,,,,,,107592,,,,,,,,
109,City of Cape Town,City,,,,,,,,,,,,,,,,80205,,,,,,,,
109,EThekwini Municipality,City,,,,,,,,,,,,,,,,121266,,,,,,,,
109,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,104607,,,,,,,,
109,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,32055,,,,,,,,
109,Buffalo City Municipality,City,,,,,,,,,,,,,,,,27885,,,,,,,,
109,Mangaung Municipality,City,,,,,,,,,,,,,,,,28656,,,,,,,,
109,Msunduzi Municipality,City,,,,,,,,,,,,,,,,25371,,,,,,,,
110,City of Johannesburg,City,,,,,,,,,,,,,,,,664245,,,,,,,,
110,City of Tshwane,City,,,,,,,,,,,,,,,,449514,,,,,,,,
110,City of Cape Town,City,,,,,,,,,,,,,,,,647358,,,,,,,,
110,EThekwini Municipality,City,,,,,,,,,,,,,,,,642990,,,,,,,,
110,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,524187,,,,,,,,
110,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,219975,,,,,,,,
110,Buffalo City Municipality,City,,,,,,,,,,,,,,,,154701,,,,,,,,
110,Mangaung Municipality,City,,,,,,,,,,,,,,,,164232,,,,,,,,
110,Msunduzi Municipality,City,,,,,,,,,,,,,,,,126138,,,,,,,,
111,City of Johannesburg,City,,,,,,,,,,,,,,,,163188,,,,,,,,
111,City of Tshwane,City,,,,,,,,,,,,,,,,547086,,,,,,,,
111,City of Cape Town,City,,,,,,,,,,,,,,,,820890,,,,,,,,
111,EThekwini Municipality,City,,,,,,,,,,,,,,,,779040,,,,,,,,
111,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,642513,,,,,,,,
111,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,273723,,,,,,,,
111,Buffalo City Municipality,City,,,,,,,,,,,,,,,,191988,,,,,,,,
111,Mangaung Municipality,City,,,,,,,,,,,,,,,,199254,,,,,,,,
111,Msunduzi Municipality,City,,,,,,,,,,,,,,,,151908,,,,,,,,
112,City of Johannesburg,City,,,,,,,,,,,,,,,,1251084,,,,,,,,
112,City of Tshwane,City,,,,,,,,,,,,,,,,736752,,,,,,,,
112,City of Cape Town,City,,,,,,,,,,,,,,,,1194105,,,,,,,,
112,EThekwini Municipality,City,,,,,,,,,,,,,,,,998760,,,,,,,,
112,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,960915,,,,,,,,
112,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,383835,,,,,,,,
112,Buffalo City Municipality,City,,,,,,,,,,,,,,,,235605,,,,,,,,
112,Mangaung Municipality,City,,,,,,,,,,,,,,,,207879,,,,,,,,
112,Msunduzi Municipality,City,,,,,,,,,,,,,,,,178266,,,,,,,,
113,City of Johannesburg,City,,,,,,,,,,,,,,,,1124502,,,,,,,,
113,City of Tshwane,City,,,,,,,,,,,,,,,,715593,,,,,,,,
113,City of Cape Town,City,,,,,,,,,,,,,,,,784065,,,,,,,,
113,EThekwini Municipality,City,,,,,,,,,,,,,,,,895710,,,,,,,,
113,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,811245,,,,,,,,
