Indicator,Unit of Analysis,Definition,Theme,Sub-Theme,Source,Frequency
Sexual Offences detected as a result of Police Action,Cases Recorded,Total Sexual Offences detected as a result of Police Action crimes recorded,Urban Safety,Crime Statistics,South African Police Service (SAPS) Crime Statistics,Annually
Sexual Offences detected as a result of Police Action (rate),Cases per 100 000 People,Sexual Offences detected as a result of Police Action crime rate per 100 000 of population,Urban Safety,Crime Statistics,South African Police Service (SAPS) Crime Statistics,Annually
Shoplifting,Cases Recorded,Total Shoplifting crimes recorded,Urban Safety,Crime Statistics,South African Police Service (SAPS) Crime Statistics,Annually
Shoplifting (rate),Cases per 100 000 People,Shoplifting crime rate per 100 000 of population,Urban Safety,Crime Statistics,South African Police Service (SAPS) Crime Statistics,Annually
Stock-theft,Cases Recorded,Total Stock-theft crimes recorded,Urban Safety,Crime Statistics,South African Police Service (SAPS) Crime Statistics,Annually
Stock-theft (rate),Cases per 100 000 People,Stock-theft crime rate per 100 000 of population,Urban Safety,Crime Statistics,South African Police Service (SAPS) Crime Statistics,Annually
Theft of motor vehicle and motorcycle,Cases Recorded,Total Theft of motor vehicle and motorcycle crimes recorded,Urban Safety,Crime Statistics,South African Police Service (SAPS) Crime Statistics,Annually
Theft of motor vehicle and motorcycle (rate),Cases per 100 000 People,Theft of motor vehicle and motorcycle crime rate per 100 000 of population,Urban Safety,Crime Statistics,South African Police Service (SAPS) Crime Statistics,Annually
Theft out of or from motor vehicle,Cases Recorded,Total Theft out of or from motor vehicle crimes recorded,Urban Safety,Crime Statistics,South African Police Service (SAPS) Crime Statistics,Annually
Theft out of or from motor vehicle (rate),Cases per 100 000 People,Theft out of or from motor vehicle crime rate per 100 000 of population,Urban Safety,Crime Statistics,South African Police Service (SAPS) Crime Statistics,Annually
TRIO Crimes,Cases Recorded,Total TRIO Crimes recorded,Urban Safety,Crime Statistics,South African Police Service (SAPS) Crime Statistics,Annually
TRIO Crimes (rate),Cases per 100 000 People,TRIO Crimes rate per 100 000 of population,Urban Safety,Crime Statistics,South African Police Service (SAPS) Crime Statistics,Annually
Truck hijacking,Cases Recorded,Total Truck hijacking crimes recorded,Urban Safety,Crime Statistics,South African Police Service (SAPS) Crime Statistics,Annually
Truck hijacking (rate),Cases per 100 000 People,Truck hijacking crime rate per 100 000 of population,Urban Safety,Crime Statistics,South African Police Service (SAPS) Crime Statistics,Annually
Equitable share per DORA (nominal),"R000's, constant 2012 Rands",Equitable share per Division of Revenue Act (nominal),City Finance,Finance,SACN State of City Finance Report 2015,Annually
Equitable share per AFS (nominal),"R000's, constant 2012 Rands",Equitable share per Annual Financial Statements (nominal),City Finance,Finance,SACN State of City Finance Report 2015,Annually
Equitable share DORA (constant),"R000's, constant 2012 Rands",Equitable share Division of Revenue Act (constant),City Finance,Finance,SACN State of City Finance Report 2015,Annually
Equitable share AFS (constant),"R000's, constant 2012 Rands",Equitable share Annual Financial Statements (constant),City Finance,Finance,SACN State of City Finance Report 2015,Annually
Capital and conditional grants,"R000's, constant 2012 Rands",Capital and conditional grants,City Finance,Finance,SACN State of City Finance Report 2015,Annually
Employee related costs,"R000's, constant 2012 Rands",Employee related costs,City Finance,Finance,SACN State of City Finance Report 2015,Annually
Remuneration of councillors,,Remuneration of councillors,City Finance,Finance,SACN State of City Finance Report 2015,Annually
Bad debts,,Bad debts,City Finance,Finance,SACN State of City Finance Report 2015,Annually
Repairs and maintenance,,Repairs and maintenance,City Finance,Finance,SACN State of City Finance Report 2015,Annually
Bulk purchases,,Bulk purchases,City Finance,Finance,SACN State of City Finance Report 2015,Annually
Other expenditure,,Other expenditure,City Finance,Finance,SACN State of City Finance Report 2015,Annually
City employee related costs (constant 2012 Rands),,City employee related costs (constant 2012 Rands),City Finance,Finance,SACN State of City Finance Report 2015,Annually
"Electricity capital expenditure (R000's, constant 2012 Rands)",,"Electricity capital expenditure (R000's, constant 2012 Rands)",City Finance,Finance,SACN State of City Finance Report 2015,Annually
Water capital expenditure,,Water capital expenditure,City Finance,Finance,SACN State of City Finance Report 2015,Annually
